Month	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
0:0	1	49.8842	0.03795	44.034	45.48	46.324	46.77	47.458	47.922	48.607	49.884	51.161	51.846	52.31	52.998	53.445	54.288	55.734
0:1	1	54.6645	0.03559	48.652	50.139	51.005	51.464	52.171	52.648	53.352	54.665	55.977	56.681	57.158	57.865	58.324	59.19	60.677
0:2	1	58.4384	0.03423	52.257	53.785	54.676	55.148	55.875	56.365	57.089	58.438	59.788	60.512	61.002	61.729	62.201	63.092	64.62
0:3	1	61.4013	0.03329	55.085	56.646	57.557	58.039	58.782	59.283	60.023	61.401	62.78	63.52	64.021	64.763	65.246	66.156	67.718
0:4	1	63.9041	0.03257	57.472	59.062	59.989	60.481	61.237	61.747	62.5	63.904	65.308	66.061	66.571	67.328	67.819	68.746	70.336
0:5	1	65.8912	0.03204	59.367	60.98	61.921	62.419	63.186	63.703	64.467	65.891	67.315	68.079	68.597	69.364	69.862	70.802	72.415
0:6	1	67.5904	0.03166	60.978	62.612	63.566	64.071	64.848	65.373	66.147	67.59	69.034	69.808	70.333	71.11	71.615	72.569	74.203
0:7	1	69.21	0.03139	62.496	64.156	65.124	65.637	66.426	66.958	67.745	69.21	70.675	71.462	71.994	72.783	73.296	74.264	75.924
0:8	1	70.6224	0.03124	63.805	65.49	66.473	66.993	67.795	68.336	69.134	70.622	72.11	72.909	73.45	74.251	74.772	75.755	77.44
0:9	1	72.0154	0.03117	65.079	66.793	67.794	68.323	69.139	69.689	70.501	72.015	73.529	74.342	74.892	75.708	76.237	77.237	78.952
0:10	1	73.3075	0.03118	66.244	67.99	69.009	69.548	70.378	70.938	71.766	73.308	74.849	75.677	76.237	77.067	77.606	78.625	80.371
0:11	1	74.5059	0.03125	67.311	69.089	70.127	70.676	71.522	72.093	72.935	74.506	76.076	76.919	77.49	78.336	78.885	79.922	81.701
0:12	1	75.6999	0.03137	68.362	70.176	71.234	71.794	72.657	73.239	74.098	75.7	77.302	78.161	78.743	79.606	80.166	81.224	83.038
1:1	1	76.8926	0.03154	69.398	71.251	72.331	72.904	73.785	74.379	75.257	76.893	78.528	79.406	80.001	80.882	81.454	82.534	84.387
1:2	1	78.0085	0.03173	70.36	72.25	73.353	73.937	74.836	75.443	76.339	78.009	79.678	80.574	81.181	82.08	82.664	83.767	85.657
1:3	1	79.0903	0.03196	71.279	73.21	74.336	74.933	75.851	76.47	77.385	79.09	80.795	81.71	82.33	83.248	83.844	84.971	86.902
1:4	1	80.2113	0.03222	72.225	74.199	75.351	75.96	76.899	77.533	78.468	80.211	81.954	82.89	83.523	84.462	85.072	86.224	88.198
1:5	1	81.2004	0.03248	73.05	75.065	76.24	76.862	77.82	78.467	79.422	81.2	82.979	83.934	84.58	85.539	86.161	87.336	89.351
1:6	1	82.2955	0.0328	73.954	76.016	77.219	77.856	78.836	79.498	80.475	82.296	84.116	85.093	85.755	86.735	87.372	88.575	90.637
